,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,Seats,RapidChargeScore,PowerTrainScore
0,4.6,233,450,161,940.0,5,1,1.0
1,10.0,160,270,167,250.0,5,1,0.75
2,4.7,210,400,181,620.0,5,1,1.0
3,6.8,180,360,206,560.0,5,1,0.75
4,9.5,145,170,168,190.0,4,1,0.75
5,2.8,250,610,180,620.0,5,1,1.0
6,9.6,150,190,168,220.0,5,1,0.5
7,8.1,150,275,164,420.0,5,1,0.5
8,5.6,225,310,153,650.0,5,1,0.75
9,6.3,180,400,193,540.0,5,1,1.0
10,5.1,180,370,216,440.0,5,1,1.0
11,7.9,144,220,164,230.0,5,1,0.5
12,7.9,167,400,160,380.0,5,1,0.5
13,4.0,200,450,178,650.0,5,1,0.75
14,9.7,165,250,153,210.0,5,1,0.5
15,7.9,160,440,175,590.0,4,1,0.75
16,2.8,260,375,223,780.0,4,1,1.0
17,11.9,130,195,166,170.0,4,1,0.5
18,8.2,140,220,193,260.0,5,1,0.5
19,7.3,150,185,156,260.0,4,1,0.5
20,8.1,150,275,164,420.0,5,1,0.5
21,5.1,217,425,171,930.0,7,1,1.0
22,10.0,160,290,179,230.0,5,1,0.75
23,3.5,240,425,197,850.0,4,1,1.0
24,3.4,261,435,167,910.0,5,1,1.0
25,7.5,160,420,183,560.0,5,1,0.75
26,9.0,160,350,166,490.0,5,1,0.75
27,4.9,180,375,200,470.0,5,1,1.0
28,7.3,150,235,161,270.0,4,1,0.75
29,8.5,150,250,180,380.0,5,1,0.5
30,6.8,190,280,231,450.0,5,1,1.0
31,7.8,167,370,173,350.0,5,1,0.5
32,11.4,135,315,165,230.0,5,1,0.5
33,3.0,210,750,267,710.0,6,1,1.0
34,9.0,150,180,178,240.0,5,1,0.5
35,7.3,157,325,172,390.0,5,1,0.5
36,7.5,160,270,193,190.0,5,1,0.5
37,6.5,160,425,181,570.0,4,1,0.75
38,9.5,140,310,168,230.0,5,1,0.5
39,5.0,200,350,171,440.0,5,1,1.0
40,3.8,250,515,184,560.0,5,1,1.0
41,9.9,155,255,154,210.0,5,1,0.5
42,5.7,200,380,228,610.0,5,1,1.0
43,12.3,130,195,166,170.0,4,1,0.5
44,12.3,130,195,166,170.0,4,1,0.5
45,7.9,167,365,175,340.0,5,1,0.5
46,7.3,150,335,173,210.0,5,1,0.5
47,4.0,250,365,195,730.0,4,1,1.0
48,10.0,150,575,104,540.0,5,1,1.0
49,9.0,150,335,188,350.0,5,1,0.5
50,5.7,200,365,237,590.0,5,1,1.0
51,2.1,410,970,206,920.0,4,1,1.0
52,8.5,150,255,176,390.0,5,1,0.5
53,8.8,160,420,183,560.0,5,1,0.75
54,4.6,250,450,211,490.0,7,1,1.0
55,8.3,145,170,168,190.0,4,1,0.75
56,8.7,150,250,180,380.0,5,1,0.5
58,9.7,150,250,180,380.0,5,1,0.5
59,2.5,261,505,188,550.0,5,1,1.0
60,11.4,135,255,161,230.0,5,1,0.5
61,3.7,241,410,177,900.0,7,1,1.0
62,7.6,160,440,198,520.0,5,1,0.5
63,4.8,200,365,232,340.0,5,1,1.0
64,7.0,180,450,200,430.0,5,1,0.75
65,4.0,250,425,197,890.0,4,1,1.0
66,14.0,123,190,200,190.0,7,1,0.5
67,5.0,190,460,261,710.0,6,1,1.0
69,6.0,180,430,209,410.0,5,1,1.0
70,6.9,160,230,165,260.0,4,1,0.75
71,7.0,160,400,193,540.0,5,1,1.0
72,3.5,250,385,217,770.0,4,1,1.0
73,5.5,190,390,244,460.0,5,1,1.0
74,9.0,140,225,156,270.0,5,1,0.5
75,9.8,155,235,167,230.0,5,1,0.5
76,6.3,180,410,188,550.0,5,1,1.0
78,6.0,180,340,206,360.0,5,1,1.0
79,3.2,260,390,215,810.0,4,1,1.0
80,7.3,160,340,171,470.0,5,1,0.75
81,2.8,250,440,216,480.0,7,1,1.0
83,6.6,180,360,194,380.0,5,1,0.75
84,10.0,140,330,273,290.0,7,1,0.5
85,9.0,150,250,168,330.0,4,1,0.5
86,7.0,180,390,256,740.0,6,1,0.75
87,6.8,190,295,219,470.0,5,1,1.0
88,6.2,180,400,193,540.0,5,1,1.0
89,9.0,160,320,181,440.0,5,1,0.75
90,4.5,210,320,270,510.0,5,1,1.0
92,7.9,167,365,175,320.0,5,1,0.5
93,5.7,200,420,207,500.0,5,1,1.0
94,9.0,150,250,168,330.0,4,1,0.5
95,7.3,160,340,171,470.0,5,1,0.75
96,9.9,157,230,170,220.0,5,1,0.5
97,7.5,190,325,222,420.0,5,1,0.75
98,7.5,160,330,191,440.0,5,1,0.5
99,4.5,210,335,258,540.0,5,1,1.0
100,5.9,200,325,194,440.0,5,1,1.0
101,5.1,200,375,232,450.0,5,1,1.0
102,7.5,190,400,238,480.0,5,1,1.0
